,gpu_usage,cpu_usage_avg,gpu_temp,cpu_temp,tj_temp,power_tot,power_model,RAM,SWAP,elapsed_time
188,0.0,59.5,65.718,69.625,69.625,11877.0,5000.0,0.930664387791383,0.8727640802297784,191.60558938980103
189,99.6,52.125,67.656,69.5,69.687,15264.0,7603.0,0.9199490995739584,0.8728646928941471,192.6328408718109
190,99.8,64.25,66.875,69.312,69.281,15840.0,8001.0,0.9213753095506915,0.8728646928941471,193.57659316062927
191,22.5,74.125,65.875,69.437,69.218,11877.0,5280.0,0.9237169786604954,0.8728646928941471,194.61110067367554
192,0.0,48.875,65.343,69.218,69.125,10610.0,4280.0,0.9478537610798875,0.8743960557928219,195.52816200256348
193,99.7,71.375,67.343,69.531,69.437,18450.0,9840.0,0.9243814288298516,0.8743960557928219,196.6176152229309
194,0.1,50.0,66.187,69.468,69.468,14423.0,7296.0,0.923755403491919,0.8743807970001214,197.57339692115784
195,0.0,61.875,65.531,69.343,69.187,11195.0,4560.0,0.9482864147012406,0.8745047746908128,198.5454032421112
196,99.7,72.375,67.687,70.062,70.187,18729.0,9999.0,0.9223766007747344,0.8745352922762137,199.48147416114807
197,0.0,51.0,65.906,69.656,69.875,13741.0,6459.0,0.9224519533662273,0.8745352922762137,200.7151792049408
198,0.0,53.5,65.656,69.906,69.937,11436.0,4960.0,0.9435521760555913,0.8745684324666101,201.47826743125916
199,99.3,63.625,67.218,69.406,69.531,16760.0,8147.0,0.9228988291654451,0.8745684324666101,202.64843487739563
200,0.0,58.75,66.031,70.343,70.5,14022.0,6937.0,0.9217066613437463,0.8745684324666101,203.45843839645386
201,0.0,50.875,66.718,69.468,69.531,12198.0,5391.0,0.9211030920761261,0.8745684324666101,204.6882529258728
202,99.4,59.25,66.968,69.437,69.406,15384.0,7364.0,0.9236249087722144,0.8745684324666101,205.84475374221802
203,0.0,60.25,66.0,69.906,69.906,13161.0,6389.0,0.9229824156493859,0.8745684324666101,206.51066708564758
204,0.0,59.0,66.187,69.781,69.656,11717.0,5200.0,0.9210526906738692,0.8745379148812091,208.05075764656067
205,99.8,82.5,67.562,69.75,69.593,17800.0,9205.0,0.9231523332480834,0.8745379148812091,208.57435011863708
206,0.0,59.5,66.312,70.5,70.25,13782.0,6897.0,0.9227571064105843,0.8745226560885087,209.66980385780334
207,0.0,55.0,66.093,69.5,69.437,10932.0,4480.0,0.9465602914298903,0.8745226560885087,211.0876166820526
208,99.8,71.25,67.812,70.312,70.25,19209.0,10260.0,0.9231171520712605,0.8745073972958082,211.47143530845642
209,0.0,50.875,66.406,69.937,69.75,13862.0,6499.0,0.9237197232913114,0.8744768797104072,212.59180808067322
210,99.7,50.125,68.281,69.968,69.906,14783.0,7324.0,0.922830961930723,0.8744463621250063,213.6034231185913
211,99.7,58.375,67.5,69.593,69.625,16680.0,8227.0,0.9248886865070206,0.8744463621250063,214.78421998023987
212,0.0,75.5,66.062,70.406,70.406,12961.0,6110.0,0.9230168482905317,0.8743853269542043,215.50820803642273
213,0.0,49.75,66.562,69.562,69.687,11436.0,4880.0,0.9224374816764704,0.8744005857469048,216.82065272331238
214,99.8,63.5,67.468,70.0,69.812,17720.0,9047.0,0.9244208517088446,0.8744005857469048,217.7465169429779
215,0.0,58.5,66.343,70.75,71.031,13421.0,6459.0,0.9239120969603214,0.8744005857469048,218.48952984809875
216,0.0,56.125,67.562,70.125,70.125,13782.0,6578.0,0.9233629212852358,0.8744196592377804,219.68006229400635
217,99.6,54.125,67.625,69.906,69.906,15880.0,7802.0,0.9250039610012912,0.8744196592377804,220.87439513206482
218,0.0,56.25,66.125,70.093,70.031,12479.0,5311.0,0.9379443962747874,0.8744196592377804,221.68910884857178
219,99.7,62.75,68.75,70.468,70.468,19089.0,10078.0,0.9244016392931328,0.8744044004450799,222.53496479988098
220,0.2,50.0,66.718,70.343,70.187,14423.0,6857.0,0.9232538845882742,0.8744044004450799,223.75295209884644
221,19.9,58.25,66.0,69.718,69.687,11316.0,4880.0,0.9484463518242439,0.8744501768231814,224.7039430141449
222,99.8,63.75,68.031,70.343,70.437,18130.0,9126.0,0.9261816571332331,0.8744501768231814,225.76739525794983
223,6.2,52.625,66.687,70.531,70.437,13942.0,6539.0,0.9262502729036323,0.8744501768231814,226.5259485244751
224,0.0,52.75,66.25,69.937,69.875,10851.0,4640.0,0.9467990743108794,0.8790149400269842,227.85110068321228
225,99.8,61.0,67.687,70.468,70.343,18809.0,9761.0,0.9225966702637964,0.8789996812342837,228.67285108566284
226,0.0,53.25,66.687,70.593,70.593,14342.0,6937.0,0.9217151447480866,0.8789996812342837,229.4985659122467
227,0.0,59.75,66.125,69.812,69.781,10972.0,4640.0,0.9402955468365011,0.880598278188295,230.69649648666382
228,99.6,74.875,69.0,71.0,71.0,20015.0,11052.0,0.9235483086212597,0.880598278188295,231.46921491622925
229,0.0,55.5,66.875,70.187,70.125,13362.0,6100.0,0.922821979502598,0.880598278188295,232.65450978279114
230,0.0,56.0,66.187,70.062,70.218,11637.0,4920.0,0.9396792524623705,0.8823678213042787,233.41693449020386
231,99.7,55.875,68.531,70.562,70.562,18250.0,9681.0,0.9198797352678822,0.8828341681561871,234.66002893447876
232,20.8,56.375,66.562,70.187,70.093,13421.0,6499.0,0.9205516707940092,0.8828596789502332,235.97390842437744
233,0.0,60.5,66.187,69.968,70.187,11436.0,4760.0,0.9339212665223656,0.884252282202788,236.8197386264801
234,99.5,52.25,67.687,70.125,70.156,13902.0,6618.0,0.9221605234759501,0.8854071820753054,237.70117664337158
235,99.3,48.625,67.718,70.031,70.093,15520.0,7921.0,0.918127413247834,0.8854071820753054,238.89151811599731
